name,category_id,,,,,
アーティチョーク,1,,,,,
アーモンドミルク,5,,,,,
アサリ,3,,,,,
アジ,3,,,,,
アスパラ,1,,,,,
アボガド,1,,,,,
イカ,3,,,,,
インゲン豆,1,,,,,
ウコン,1,,,,,
うずらの卵（１０個入り）,5,,,,,
ウド,1,,,,,
ウニ,3,,,,,
エシャレット,1,,,,,
エシャロット,1,,,,,
エノキタケ,1,,,,,
エビ,3,,,,,
エリンギ,1,,,,,
えんどう豆,1,,,,,
オクラ,1,,,,,
オレンジ,6,,,,,
カキ,3,,,,,
カニ,3,,,,,
カブ,1,,,,,
カボス,6,,,,,
カマンベールチーズ,5,,,,,
カリフラワー,1,,,,,
カレイ,3,,,,,
キウイ,6,,,,,
キクラゲ,1,,,,,
キャベツ,1,,,,,
きゅうり,1,,,,,
クリームチーズ,5,,,,,
グレープフルーツ,6,,,,,
クレソン,1,,,,,
クワイ,1,,,,,
ケール,1,,,,,
ゴーダチーズ,5,,,,,
ゴーヤ,1,,,,,
ココナッツミルク,5,,,,,
ごぼう,1,,,,,
コリアンダー（パクチー）,1,,,,,
ザーサイ,1,,,,,
サーロインステーキ,4,,,,,
さくらんぼ,6,,,,,
サケ,3,,,,,
さつまいも,1,,,,,
サバ,3,,,,,
ししとう,1,,,,,
シジミ,3,,,,,
しめじ,1,,,,,
ジャガイモ,1,,,,,
シリアル,2,,,,,
スイカ,1,,,,,
ズッキーニ,1,,,,,
セリ,1,,,,,
セロリ,1,,,,,
ソーセージ,4,,,,,
そら豆,1,,,,,
タアサイ,1,,,,,
タカナ,1,,,,,
タケノコ,1,,,,,
タコ,3,,,,,
チェダーチーズ,5,,,,,
トウガラシ,1,,,,,
とうもろこし,1,,,,,
トマト,1,,,,,
ナス,1,,,,,
なめこ,1,,,,,
ニラ,1,,,,,
ニンニク,1,,,,,
ネギ,1,,,,,
パイナップル,6,,,,,
パセリ,1,,,,,
バナナ,6,,,,,
パプリカ,1,,,,,
ハム,4,,,,,
ビート,1,,,,,
ピーマン,1,,,,,
フィレステーキ,4,,,,,
ふきのとう,1,,,,,
ブドウ,6,,,,,
プラム,6,,,,,
ブルーベリー,6,,,,,
フレーバーヨーグルト,5,,,,,
ブロッコリー,1,,,,,
ベーコン,4,,,,,
ヘチマ,1,,,,,
ホイップクリーム,5,,,,,
ホウボウ,3,,,,,
ほうれん草,1,,,,,
ホタテ,3,,,,,
ホタルガイ,3,,,,,
マグロ,3,,,,,
マスカット,6,,,,,
マスカルポーネ,5,,,,,
マッシュルーム,1,,,,,
マンゴー,6,,,,,
ミックスチーズ,5,,,,,
ミニトマト,1,,,,,
ムール貝,3,,,,,
メロン,6,,,,,
モッツァレラチーズ,5,,,,,
もやし,1,,,,,
モロヘイヤ,1,,,,,
ヨーグルト,5,,,,,
ライム,6,,,,,
らっきょう,1,,,,,
ラディッシュ,1,,,,,
リブアイステーキ,4,,,,,
りんご,6,,,,,
ルッコラ,1,,,,,
レタス,1,,,,,
レモン,6,,,,,
ローストビーフ,4,,,,,
ロースト用ブロック肉,4,,,,,
芽キャベツ,1,,,,,
柿,6,,,,,
牛カルビ,4,,,,,
牛タン,4,,,,,
牛ミンチ,4,,,,,
牛もも切り落とし,4,,,,,
牛ローススライス,4,,,,,
牛角切り,4,,,,,
牛小間切れ,4,,,,,
玉ねぎ,1,,,,,
空芯菜,1,,,,,
鶏ささみ,4,,,,,
鶏むね肉,4,,,,,
鶏もも肉,4,,,,,
鶏皮,4,,,,,
絹豆腐,5,,,,,
玄米,2,,,,,
高カルシウム牛乳,5,,,,,
菜心,1,,,,,
三つ葉,1,,,,,
山芋,1,,,,,
枝豆,1,,,,,
紫蘇,1,,,,,
手羽先,4,,,,,
春菊,1,,,,,
小松菜,1,,,,,
小豆,1,,,,,
醤油,5,,,,,
食用菊,1,,,,,
人参,1,,,,,
水菜,1,,,,,
生クリーム,5,,,,,
生ゆば,5,,,,,
生乳,5,,,,,
生姜,1,,,,,
青梗菜,1,,,,,
大根,1,,,,,
大豆,1,,,,,
長芋,1,,,,,
椎茸,1,,,,,
低脂肪牛乳,5,,,,,
冬瓜,1,,,,,
桃,6,,,,,
豆乳（大豆乳）,5,,,,,
豚スペアリブ,4,,,,,
豚バラ,4,,,,,
豚バラカルビ,4,,,,,
豚バラブロック,4,,,,,
豚ヒレブロック,4,,,,,
豚ミンチ,4,,,,,
豚モモスライス,4,,,,,
豚モモブロック,4,,,,,
豚ローススライス,4,,,,,
豚ローストンカツ用,4,,,,,
豚ロースブロック,4,,,,,
豚ロース生姜焼き用,4,,,,,
豚肩ロース,4,,,,,
豚肩ロースしゃぶしゃぶ用,4,,,,,
豚肩ロースブロック,4,,,,,
豚小間切れ,4,,,,,
南瓜,1,,,,,
白キクラゲ,1,,,,,
白瓜,1,,,,,
白菜,1,,,,,
白米,2,,,,,
発酵バター,5,,,,,
舞茸,1,,,,,
味噌,5,,,,,
無塩バター,5,,,,,
明日葉,1,,,,,
木綿豆腐,5,,,,,
野沢菜,1,,,,,
有塩バター,5,,,,,
卵（１０個入り）,5,,,,,
卵（６個入り）,5,,,,,
梨,6,,,,,
里芋,1,,,,,
蓮根,1,,,,,
苺,6,,,,,
茗荷,1,,,,,
